 itr      obj      opt     time
   0 2.42E+01 2.33E+02 2.79E-05
   1 1.91E+01 2.93E+02 2.90E-02
   2 1.29E+01 1.73E+02 4.39E-02
   3 7.02E+00 2.11E+02 5.76E-02
   4 6.92E+00 1.99E+02 7.57E-02
   5 6.80E+00 2.07E+02 9.31E-02
   6 6.69E+00 1.95E+02 1.10E-01
   7 6.58E+00 2.03E+02 1.29E-01
   8 6.45E+00 1.91E+02 1.49E-01
   9 6.34E+00 1.99E+02 1.67E-01
  10 6.20E+00 1.87E+02 1.85E-01
  11 6.11E+00 1.94E+02 2.03E-01
  12 5.96E+00 1.82E+02 2.22E-01
  13 5.87E+00 1.89E+02 2.40E-01
  14 5.71E+00 1.78E+02 2.59E-01
  15 5.64E+00 1.84E+02 2.76E-01
  16 5.47E+00 1.73E+02 2.94E-01
  17 5.40E+00 1.79E+02 3.12E-01
  18 5.39E+00 1.71E+02 3.31E-01
  19 5.32E+00 1.78E+02 3.49E-01
  20 5.31E+00 1.70E+02 3.68E-01
  21 5.24E+00 1.76E+02 3.87E-01
  22 5.21E+00 1.68E+02 4.05E-01
  23 5.15E+00 1.74E+02 4.23E-01
  24 5.11E+00 1.66E+02 4.41E-01
  25 5.04E+00 1.71E+02 4.60E-01
  26 5.00E+00 1.64E+02 4.78E-01
  27 4.94E+00 1.69E+02 4.97E-01
  28 4.89E+00 1.61E+02 5.16E-01
  29 4.82E+00 1.66E+02 5.37E-01
  30 4.77E+00 1.59E+02 5.58E-01
  31 4.71E+00 1.64E+02 5.80E-01
  32 4.64E+00 1.56E+02 5.99E-01
  33 4.59E+00 1.61E+02 6.18E-01
  34 4.52E+00 1.53E+02 6.37E-01
  35 4.46E+00 1.58E+02 6.56E-01
  36 4.39E+00 1.50E+02 6.74E-01
  37 4.34E+00 1.55E+02 6.94E-01
  38 4.26E+00 1.47E+02 7.14E-01
  39 4.21E+00 1.52E+02 7.35E-01
  40 4.12E+00 1.44E+02 7.54E-01
  41 4.08E+00 1.48E+02 7.72E-01
  42 3.99E+00 1.41E+02 7.91E-01
  43 3.95E+00 1.45E+02 8.10E-01
  44 3.86E+00 1.38E+02 8.29E-01
  45 3.82E+00 1.42E+02 8.48E-01
  46 3.73E+00 1.34E+02 8.69E-01
  47 3.69E+00 1.38E+02 8.88E-01
  48 3.60E+00 1.31E+02 9.08E-01
  49 3.57E+00 1.35E+02 9.27E-01
  50 3.57E+00 1.30E+02 9.46E-01
  51 3.53E+00 1.34E+02 9.66E-01
  52 3.53E+00 1.29E+02 9.87E-01
  53 3.50E+00 1.33E+02 1.01E+00
  54 3.49E+00 1.28E+02 1.03E+00
  55 3.46E+00 1.32E+02 1.05E+00
  56 3.44E+00 1.27E+02 1.07E+00
  57 3.41E+00 1.30E+02 1.09E+00
  58 3.40E+00 1.26E+02 1.11E+00
  59 3.36E+00 1.29E+02 1.13E+00
  60 3.35E+00 1.24E+02 1.15E+00
  61 3.31E+00 1.27E+02 1.17E+00
  62 3.29E+00 1.23E+02 1.19E+00
  63 3.26E+00 1.26E+02 1.21E+00
  64 3.24E+00 1.21E+02 1.23E+00
  65 3.21E+00 1.24E+02 1.25E+00
  66 3.18E+00 1.20E+02 1.27E+00
  67 3.15E+00 1.22E+02 1.29E+00
  68 3.12E+00 1.18E+02 1.31E+00
  69 3.09E+00 1.21E+02 1.33E+00
  70 3.06E+00 1.16E+02 1.35E+00
  71 3.03E+00 1.19E+02 1.36E+00
  72 2.99E+00 1.14E+02 1.38E+00
  73 2.97E+00 1.17E+02 1.40E+00
  74 2.93E+00 1.12E+02 1.42E+00
  75 2.90E+00 1.15E+02 1.45E+00
  76 2.86E+00 1.10E+02 1.47E+00
  77 2.84E+00 1.13E+02 1.49E+00
  78 2.80E+00 1.08E+02 1.51E+00
  79 2.77E+00 1.11E+02 1.53E+00
  80 2.73E+00 1.06E+02 1.55E+00
  81 2.71E+00 1.08E+02 1.57E+00
  82 2.67E+00 1.04E+02 1.59E+00
  83 2.65E+00 1.06E+02 1.64E+00
  84 2.60E+00 1.02E+02 1.66E+00
  85 2.58E+00 1.04E+02 1.68E+00
  86 2.54E+00 9.98E+01 1.70E+00
  87 2.52E+00 1.02E+02 1.72E+00
  88 2.47E+00 9.76E+01 1.74E+00
  89 2.46E+00 9.94E+01 1.76E+00
  90 2.41E+00 9.53E+01 1.78E+00
  91 2.40E+00 9.71E+01 1.80E+00
  92 2.35E+00 9.31E+01 1.82E+00
  93 2.33E+00 9.47E+01 1.84E+00
  94 2.29E+00 9.08E+01 1.86E+00
  95 2.28E+00 9.24E+01 1.88E+00
  96 2.23E+00 8.85E+01 1.90E+00
  97 2.22E+00 9.01E+01 1.92E+00
  98 2.22E+00 8.80E+01 1.94E+00
  99 2.20E+00 8.95E+01 1.97E+00
 100 2.20E+00 8.74E+01 1.99E+00
